,X021a,X021b,X022a,X022b,X023a,X023b,X024a,X024b,X025a,X025b,X026a,X026b,X027a,X027b,X028a,X028b,X029a,X029b,X030a,X030b,X031a,X031b,X032a,X032b,X033a  ,X033b  
62,,,,,40,39,,,,,,,,,,,,,,,,,,,,
63,,,,,32,40,,,,,,,,,,,,,,,,,,,,
64,,,,,32,34,,,,,,,,,,,,,,,,,,,,
65,,,,,32,31,,,,,,,,,,,,,,,,,,,,
66,,,,,20,21,,,,,,,,,,,,,,,,,,,,
67,,,,,40,44,,,,,,,,,,,,,,,,,,,,
68,,,,,24,29,,,,,,,,,,,,,,,,,,,,
69,,,,,40,36,,,,,,,,,,,,,,,,,,,,
70,,,,,66,66,,,,,,,,,,,,,,,,,,,,
71,,,,,35.95,38,,,,,,,,,,,,,,,,,,,,
72,,,,,48.05,31,,,,,,,,,,,,,,,,,,,,
73,,,,,34,39,,,,,,,,,,,,,,,,,,,,
74,,,,,26,23,,,,,,,,,,,,,,,,,,,,
75,,,,,28,28,,,,,,,,,,,,,,,,,,,,
76,,,,,26,34,,,,,,,,,,,,,,,,,,,,
77,,,,,28,28,,,,,,,,,,,,,,,,,,,,
78,,,,,34,28,,,,,,,,,,,,,,,,,,,,
79,,,,,40,40,,,,,,,,,,,,,,,,,,,,
80,,,,,38,36,,,,,,,,,,,,,,,,,,,,
81,,,,,19,21,,,,,,,,,,,,,,,,,,,,
82,,,,,29,27,,,,,,,,,,,,,,,,,,,,
83,,,,,22,32,,,,,,,,,,,,,,,,,,,,
84,,,,,31,,,,,,,,,,,,,,,,,,,,,
85,,,,,28,,,,,,,,,,,,,,,,,,,,,
86,,,,,24,,,,,,,,,,,,,,,,,,,,,
87,,,,,13,,,,,,,,,,,,,,,,,,,,,
88,,,,,14,,,,,,,,,,,,,,,,,,,,,
89,,,,,44,,,,,,,,,,,,,,,,,,,,,
90,,,,,35,,,,,,,,,,,,,,,,,,,,,
91,,,,,41,,,,,,,,,,,,,,,,,,,,,
92,,,,,41,,,,,,,,,,,,,,,,,,,,,
93,,,,,28,,,,,,,,,,,,,,,,,,,,,
94,,,,,23,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,
