"Series_1","Series_2","First_ring","Last_ring","col","First_lag","First_R","First_P","First_Overlap","Sec_lag","Sec_R","Sec_P","Sec_Overlap","Third_lag","Third_R","Third_P","Third_Overlap"
"mean_chronology","mean_chronology",1664,1992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mean_chronology","sample_a",1671,1930,3,7,0.844070719158537,5.75256903411202e-69,260,267,0.389115076771865,1.1670725980239,62,19,0.177989748427486,2.62339138648316,260
"mean_chronology","sample_b",1664,1734,4,0,0.678541537824275,5.20779877238928e-08,71,146,0.461985726014558,0.0329028315846746,71,188,0.354961344366077,1.56996869587455,71
"mean_chronology","sample_c",1693,1950,5,29,0.852638529856055,2.59765002085936e-71,258,6,0.223447155063587,0.195722787839563,258,152,0.212308846561856,2.99661707528741,177
"mean_chronology","sample_d",1692,1755,6,28,0.794357711595439,3.13316750840219e-12,64,14,0.33666235827791,4.29407965984196,64,68,0.310806933817618,8.1789481903501,64
"mean_chronology","sample_e",1692,1755,7,28,0.773751960326065,4.33498217398685e-11,64,14,0.32103298762446,6.37968385588657,64,-49,0.578112347768814,15.7818985351723,15
"mean_chronology","sample_f",1758,1900,8,94,0.774250551295961,5.4971119821862e-27,143,-105,0.513300797448501,0.646077116944972,38,61,0.271563054425855,0.681119299634122,143
"mean_chronology","sample_g",1769,1900,9,105,0.856814411841374,2.14632819700952e-36,132,271,0.403491813701808,1.10901447727062,58,73,0.269191241621057,1.18524242252482,132
"mean_chronology","sample_h",1741,1950,10,77,0.814993187004089,2.28529342052055e-48,210,-149,0.447961048903925,0.193743942933635,61,100,0.224465123568285,0.694543750112334,210
"mean_chronology","sample_i",1761,1950,11,97,0.846294683041852,1.71845576600694e-50,190,263,0.475561684057275,0.0358771268974112,66,120,0.231011820649444,0.883312280771136,190
"mean_chronology","sample_j",1741,1811,12,77,0.733421142709336,2.30082352934995e-10,71,92,0.439987285714054,0.0811593473154466,71,110,0.363831328619899,1.19436894257766,71
"mean_chronology","sample_k",1680,1988,13,16,0.253212552614706,0.00433274271055578,309,317,0.89264439053687,0.0615554099529172,12,193,0.259884152767254,1.47868855428037,136
"mean_chronology","sample_l",1672,1988,14,8,0.253065058393878,0.00332804954507114,317,99,0.191476625280599,2.33978810718739,230,-24,0.168967853905017,2.44926014126294,293
"mean_chronology","sample_m",1600,1928,15,-64,0.262232598841732,0.0100559131555993,265,-200,0.261343327855844,1.8262585838145,129,-77,0.171833453095052,4.10987337421397,252
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
